WARNING: src/mem.v:15: $readmemh(testset_nop.hex): Not enough words in the file for the requested range [0:4095].
tick 093 : rst=0 DECODE OPC=I_SHLi   SGN_EN=0 IMM_EN=1 IMM_VAL=004 IMMSR_VAL=00 CC=RA TGT_GP=6 TGT_SR=0 SRC_GP=0 SRC_SR=0
tick 094 : rst=0 DECODE OPC=I_SHLi   SGN_EN=0 IMM_EN=1 IMM_VAL=020 IMMSR_VAL=00 CC=RA TGT_GP=7 TGT_SR=0 SRC_GP=0 SRC_SR=0
tick 095 : rst=0 DECODE OPC=IS_MOVis SGN_EN=1 IMM_EN=1 IMM_VAL=004 IMMSR_VAL=00 CC=RA TGT_GP=f TGT_SR=0 SRC_GP=0 SRC_SR=0
tick 096 : rst=0 DECODE OPC=NOP      SGN_EN=0 IMM_EN=0 IMM_VAL=000 IMMSR_VAL=00 CC=RA TGT_GP=0 TGT_SR=0 SRC_GP=0 SRC_SR=0
tick 097 : rst=0 DECODE OPC=NOP      SGN_EN=0 IMM_EN=0 IMM_VAL=000 IMMSR_VAL=00 CC=RA TGT_GP=0 TGT_SR=0 SRC_GP=0 SRC_SR=0
tick 098 : rst=0 DECODE OPC=NOP      SGN_EN=0 IMM_EN=0 IMM_VAL=000 IMMSR_VAL=00 CC=RA TGT_GP=0 TGT_SR=0 SRC_GP=0 SRC_SR=0
tick 099 : rst=0 DECODE OPC=R_SHR    SGN_EN=0 IMM_EN=0 IMM_VAL=000 IMMSR_VAL=00 CC=RA TGT_GP=4 TGT_SR=0 SRC_GP=f SRC_SR=0
tick 100 : rst=0 DECODE OPC=IS_MOVis SGN_EN=1 IMM_EN=1 IMM_VAL=020 IMMSR_VAL=00 CC=RA TGT_GP=0 TGT_SR=0 SRC_GP=0 SRC_SR=0
tick 101 : rst=0 DECODE OPC=NOP      SGN_EN=0 IMM_EN=0 IMM_VAL=000 IMMSR_VAL=00 CC=RA TGT_GP=0 TGT_SR=0 SRC_GP=0 SRC_SR=0
tick 102 : rst=0 DECODE OPC=NOP      SGN_EN=0 IMM_EN=0 IMM_VAL=000 IMMSR_VAL=00 CC=RA TGT_GP=0 TGT_SR=0 SRC_GP=0 SRC_SR=0
tick 103 : rst=0 DECODE OPC=NOP      SGN_EN=0 IMM_EN=0 IMM_VAL=000 IMMSR_VAL=00 CC=RA TGT_GP=0 TGT_SR=0 SRC_GP=0 SRC_SR=0
tick 104 : rst=0 DECODE OPC=R_SHR    SGN_EN=0 IMM_EN=0 IMM_VAL=000 IMMSR_VAL=00 CC=RA TGT_GP=5 TGT_SR=0 SRC_GP=0 SRC_SR=0
tick 105 : rst=0 DECODE OPC=I_SHRi   SGN_EN=0 IMM_EN=1 IMM_VAL=004 IMMSR_VAL=00 CC=RA TGT_GP=6 TGT_SR=0 SRC_GP=0 SRC_SR=0
tick 106 : rst=0 DECODE OPC=I_SHRi   SGN_EN=0 IMM_EN=1 IMM_VAL=020 IMMSR_VAL=00 CC=RA TGT_GP=7 TGT_SR=0 SRC_GP=0 SRC_SR=0
tick 107 : rst=0 DECODE OPC=IS_MOVis SGN_EN=1 IMM_EN=1 IMM_VAL=001 IMMSR_VAL=00 CC=RA TGT_GP=8 TGT_SR=0 SRC_GP=0 SRC_SR=0
tick 108 : rst=0 DECODE OPC=NOP      SGN_EN=0 IMM_EN=0 IMM_VAL=000 IMMSR_VAL=00 CC=RA TGT_GP=0 TGT_SR=0 SRC_GP=0 SRC_SR=0
tick 109 : rst=0 DECODE OPC=NOP      SGN_EN=0 IMM_EN=0 IMM_VAL=000 IMMSR_VAL=00 CC=RA TGT_GP=0 TGT_SR=0 SRC_GP=0 SRC_SR=0
tick 110 : rst=0 DECODE OPC=NOP      SGN_EN=0 IMM_EN=0 IMM_VAL=000 IMMSR_VAL=00 CC=RA TGT_GP=0 TGT_SR=0 SRC_GP=0 SRC_SR=0
tick 111 : rst=0 DECODE OPC=RS_SHRs  SGN_EN=1 IMM_EN=0 IMM_VAL=000 IMMSR_VAL=00 CC=RA TGT_GP=3 TGT_SR=0 SRC_GP=8 SRC_SR=0
tick 112 : rst=0 DECODE OPC=IS_MOVis SGN_EN=1 IMM_EN=1 IMM_VAL=020 IMMSR_VAL=00 CC=RA TGT_GP=9 TGT_SR=0 SRC_GP=0 SRC_SR=0
tick 113 : rst=0 DECODE OPC=NOP      SGN_EN=0 IMM_EN=0 IMM_VAL=000 IMMSR_VAL=00 CC=RA TGT_GP=0 TGT_SR=0 SRC_GP=0 SRC_SR=0
tick 114 : rst=0 DECODE OPC=NOP      SGN_EN=0 IMM_EN=0 IMM_VAL=000 IMMSR_VAL=00 CC=RA TGT_GP=0 TGT_SR=0 SRC_GP=0 SRC_SR=0
tick 115 : rst=0 DECODE OPC=NOP      SGN_EN=0 IMM_EN=0 IMM_VAL=000 IMMSR_VAL=00 CC=RA TGT_GP=0 TGT_SR=0 SRC_GP=0 SRC_SR=0
tick 116 : rst=0 DECODE OPC=RS_SHRs  SGN_EN=1 IMM_EN=0 IMM_VAL=000 IMMSR_VAL=00 CC=RA TGT_GP=5 TGT_SR=0 SRC_GP=9 SRC_SR=0
tick 117 : rst=0 DECODE OPC=IS_SHRis SGN_EN=1 IMM_EN=1 IMM_VAL=001 IMMSR_VAL=00 CC=RA TGT_GP=3 TGT_SR=0 SRC_GP=0 SRC_SR=0
tick 118 : rst=0 DECODE OPC=IS_SHRis SGN_EN=1 IMM_EN=1 IMM_VAL=020 IMMSR_VAL=00 CC=RA TGT_GP=4 TGT_SR=0 SRC_GP=0 SRC_SR=0
tick 119 : rst=0 DECODE OPC=R_CMP    SGN_EN=0 IMM_EN=0 IMM_VAL=000 IMMSR_VAL=00 CC=RA TGT_GP=0 TGT_SR=0 SRC_GP=0 SRC_SR=0
tick 120 : rst=0 DECODE OPC=R_CMP    SGN_EN=0 IMM_EN=0 IMM_VAL=000 IMMSR_VAL=00 CC=RA TGT_GP=2 TGT_SR=0 SRC_GP=1 SRC_SR=0
tick 121 : rst=0 DECODE OPC=I_CMPi   SGN_EN=0 IMM_EN=1 IMM_VAL=0ff IMMSR_VAL=00 CC=RA TGT_GP=1 TGT_SR=0 SRC_GP=0 SRC_SR=0
tick 122 : rst=0 DECODE OPC=I_CMPi   SGN_EN=0 IMM_EN=1 IMM_VAL=000 IMMSR_VAL=00 CC=RA TGT_GP=2 TGT_SR=0 SRC_GP=0 SRC_SR=0
tick 123 : rst=0 DECODE OPC=RS_CMPs  SGN_EN=1 IMM_EN=0 IMM_VAL=000 IMMSR_VAL=00 CC=RA TGT_GP=5 TGT_SR=0 SRC_GP=3 SRC_SR=0
tick 124 : rst=0 DECODE OPC=RS_CMPs  SGN_EN=1 IMM_EN=0 IMM_VAL=000 IMMSR_VAL=00 CC=RA TGT_GP=6 TGT_SR=0 SRC_GP=2 SRC_SR=0
tick 125 : rst=0 DECODE OPC=IS_CMPis SGN_EN=1 IMM_EN=1 IMM_VAL=fff IMMSR_VAL=00 CC=RA TGT_GP=7 TGT_SR=0 SRC_GP=0 SRC_SR=0
tick 126 : rst=0 DECODE OPC=IS_CMPis SGN_EN=1 IMM_EN=1 IMM_VAL=7ff IMMSR_VAL=00 CC=RA TGT_GP=8 TGT_SR=0 SRC_GP=0 SRC_SR=0
tick 127 : rst=0 DECODE OPC=S_LUI    SGN_EN=0 IMM_EN=1 IMM_VAL=123 IMMSR_VAL=00 CC=RA TGT_GP=0 TGT_SR=0 SRC_GP=0 SRC_SR=0
tick 128 : rst=0 DECODE OPC=S_SRMOV  SGN_EN=0 IMM_EN=0 IMM_VAL=000 IMMSR_VAL=00 CC=RA TGT_GP=0 TGT_SR=1 SRC_GP=0 SRC_SR=f
tick 129 : rst=0 DECODE OPC=S_HLT    SGN_EN=0 IMM_EN=0 IMM_VAL=000 IMMSR_VAL=00 CC=RA TGT_GP=0 TGT_SR=0 SRC_GP=0 SRC_SR=0
